student_id,academic_year,attendance_rate,exam_score,distance_km,fee_payment_status,grade_level,gender,dropout,data_source
SYN_0311,2024,0.7749,0.0,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0312,2024,0.8774,12.08,2.3,Unpaid,Grade 7,Male,1,synthetic
SYN_0313,2024,0.9285,92.78,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0314,2024,0.9267,92.73,4.2,Unpaid,Grade 7,Female,0,synthetic
SYN_0315,2024,,92.78,4.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0316,2024,0.6566,11.86,5.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0317,2024,0.6722,26.32,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0318,2024,0.9617,69.23,3.5,Fully Paid,Grade 7,Male,0,synthetic
SYN_0319,2024,0.9643,0.0,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0320,2024,0.939,,2.3,Unpaid,Grade 7,Male,0,synthetic
SYN_0321,2024,0.5804,18.63,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0322,2024,,10.91,3.3,Unpaid,Grade 7,Female,0,synthetic
SYN_0323,2024,0.9197,44.98,4.1,Unpaid,Grade 7,Male,1,synthetic
SYN_0324,2024,0.2559,68.1,2.1,Unpaid,Grade 7,Male,0,synthetic
SYN_0325,2024,0.9516,83.71,3.7,Fully Paid,Grade 7,Female,0,synthetic
SYN_0326,2024,0.9755,81.23,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0327,2024,0.7629,43.59,3.5,Unpaid,Grade 7,Female,1,synthetic
SYN_0328,2024,0.943,79.0,3.7,Unpaid,Grade 7,Male,0,synthetic
SYN_0329,2024,0.9302,66.42,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0330,2024,0.8974,49.61,3.6,Unpaid,Grade 7,Female,1,synthetic
SYN_0331,2024,0.2203,36.78,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0332,2024,1.0,92.78,4.4,Unpaid,Grade 7,Male,1,synthetic
SYN_0333,2024,0.8891,92.78,2.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0334,2024,1.0,80.28,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0335,2024,1.0,25.03,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0336,2024,0.654,44.55,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0337,2024,0.8629,32.16,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0338,2024,0.9933,66.28,3.4,Fully Paid,Grade 7,Female,0,synthetic
SYN_0339,2024,1.0,72.17,3.3,Unpaid,Grade 7,Female,0,synthetic
SYN_0340,2024,0.9982,86.08,4.2,Unpaid,Grade 7,Female,0,synthetic
SYN_0341,2024,1.0,58.08,4.2,Unpaid,Grade 7,Female,0,synthetic
SYN_0342,2024,0.8005,51.6,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0343,2024,0.9735,20.31,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0344,2024,0.8791,25.14,2.0,Unpaid,Grade 7,Male,0,synthetic
SYN_0345,2024,0.9668,42.9,3.8,Fully Paid,Grade 7,Male,0,synthetic
SYN_0346,2024,0.9385,20.87,2.0,Fully Paid,Grade 7,Female,1,synthetic
SYN_0347,2024,1.0,86.49,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0348,2024,1.0,33.27,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0349,2024,0.8641,39.24,2.0,Unpaid,Grade 7,Male,0,synthetic
